title,text,label
"Rukun Tetangga turns 50 with fresh focus on youth, unity and volunteerism, says deputy unity minister","CHUKAI, June 21 — The National Unity Ministry is implementing various initiatives to boost youth participation in Rukun Tetangga (RT) activities, said Deputy Minister K. Saraswathy.

She said this includes introducing the Progressive Rukun Tetangga Area (KRT) concept, which involves community-based economic projects aimed at increasing household income, particularly among young people.

“This year marks the 50th anniversary of RT. What started as a community safety team has now grown to include initiatives such as the Unity Squad and patrol units, among others.

“Therefore, we are encouraging more young people to join RT so they can play an active role within their communities,” she told reporters after officiating the Terengganu-level Unity Week celebration at Arena Square here today.

Also present was state Welfare, Women’s Development, Family and National Unity Committee chairman Maliaman Kassim.

Saraswathy said there are currently 8,565 KRT nationwide, including more than 500 in Terengganu, serving as the backbone of the government’s efforts to foster community unity.

She said this reflects the growing spirit of volunteerism and consensus among Malaysians.

“RTs also play an important role in addressing issues or tensions within communities, including incidents that go viral on social media. They consistently work together with authorities such as the Royal Malaysia Police to help defuse such situations,” she said. — Bernama",REAL
,Licking stamps increases your risk of cancer.,FAKE
,Left-handed people are more likely to be abducted by aliens.,FAKE
,EPF savings will be nationalized by the government soon.,FAKE
PKR polls: Nurul Izzah announced as new PKR deputy president,"JOHOR BARU: Nurul Izzah Anwar has been announced as the winner of the PKR deputy president's post.

Both Rafizi and Nurul Izzah Anwar are contesting for the deputy president post in the party election.

Unofficial results announced earlier put votes for Nurul Izzah at 9,803 while Rafizi garnered 3,866.

The Central Election Committee (JPP) chairman, Datuk Seri Dr Zaliha Mustafa, announced the official result at the PKR 2024/2025 National Congress at Persada International Convention Centre, here on Friday (May 23) night.

PRESIDENT: Datuk Seri Anwar Ibrahim

Deputy President: Nurul Izzah Anwar (9,803)

Vice Presidents:

1-Datuk Seri Amirudin Shari (7,955)

2-Datuk Seri Aminuddin Harun (5,889)

3-Datuk Seri R. Ramanan (5,895)

4-Chang Lih Kang (5,757)

PKR Wanita chief: Fadlina Sidek (2,890)

PKR Youth chief: Muhammad Kamil Abdul Munim

More to come",REAL
,You can cure diabetes by soaking your feet in vinegar.,FAKE
,Malaysia plans to ban chewing gum again to stop protests.,FAKE
Viral video of bullying at school prompts police investigation,"PETALING JAYA: A viral video showing a child being bullied by a group of girls is now under police investigation.

North Klang Asst Comm S. Vijaya Rao said in a statement on Friday (June 21) that the police were notified of the video, which shows the girl being harassed and beaten in a school toilet.

""The cause of the incident is still under investigation. Investigations are being conducted under Section 323 of the Penal Code for voluntarily causing hurt,"" he said.

He added that the police are taking the matter seriously.

""As such, strict action will be taken to ensure safety and public peace is maintained,"" he said.

The two-minute and 27-second video shows a girl being surrounded by others in a toilet before several start pushing and beating her.

It was alleged in the video's caption that the incident occurred in a school in Meru.

One girl is seen grabbing her by the neck before shoving her to the floor while others take turns slapping her.",REAL
"Govt to evacuate Malaysians in Iran this Friday, says Fahmi as Middle East tensions worsen","PUTRAJAYA, June 18 — Communications Minister Datuk Fahmi Fadzil today said the evacuation of Malaysians from Iran is under way, with all necessary arrangements already in place.

He said the Malaysians involved are expected to leave the Middle Eastern country by June 20.

“The number of Malaysians in Iran, including those working, studying, or travelling, is relatively small. The evacuation process is ongoing, with all required visas arranged,” he said during the ministry’s weekly press conference here.

Last Friday, Israel launched multiple strikes on Iranian territory, reportedly killing several senior military officers and scientists.

In retaliation, Iran fired ballistic missiles at various locations in Israel, resulting in several deaths and injuries.",REAL
,A Malaysian citizenship certificate has been issued to a Chinese national this month.,FAKE
"Wild jumbo captured, relocated","KOTA TINGGI: An elephant that has been ravaging a fruit farm for the past week has been successfully relocated, says state health and environment committee chairman Ling Tian Soon.

Ling said that the male elephant was captured by the Johor Wildlife and National Parks Department (Perhilitan) on Thursday.

“We received a report about an elephant entering and damaging fruit plantations in Desaru a week earlier.

“An operation was launched to capture the elephant. The elephant was found within Universiti Teknologi Malaysia’s land in Sungai Cemaran, Desaru,” he said in a Facebook post.

Ling added that the operation, dubbed Ops Gajah, was conducted around Tanjung Sedili and nearby areas.

“The operation was carried out by Johor Perhilitan’s elephant capture unit.

The elephant was relocated to prevent further human-wildlife conflict,” he added.",REAL
Accident claims life of 14-year-old pillion rider in Ulu Tiram,"JOHOR BARU: A 14-year-old motorcycle pillion rider was killed in an accident with a lorry at Ulu Tiram here.

Seri Alam OCPD Asst Comm Mohd Sohaimi Ishak said two 14-year-old students, one rider and one pillion rider, were travelling on the motorcycle along Batu 16, Jalan Sungai Tiram, Ulu Tiram when the accident occurred at around 10.44am on Friday (June 20).

""The lorry was proceeding straight along the road, and the motorcycle was reported to have suddenly appeared on the left side.

""The motorcyclist then lost control of the vehicle and fell to the left side of the road, while the pillion rider was thrown under the lorry and was run over,"" he said in a statement on Saturday (June 21).

The victim died on the spot after suffering from fatal head injuries, he said.

ACP Mohd Sohaimi added that the motorcyclist sustained leg injuries and was rushed to Hospital Sultan Ismail for medical treatment.

He said the 35-year-old lorry driver was detained to assist in investigations under Section 41(1) of the Road Transport Act 1987.

He also urged the public to obey traffic laws and exercise caution, especially during peak hours and nighttime driving, to prevent similar tragedies.

Witnesses are urged to contact the police at 07-3864222 to assist with the investigation.",REAL
Air India crash survivor says he escaped through broken emergency exit,"NEW DELHI (Reuters) -The sole survivor of the Air India plane crash that killed more than 240 people said he walked out of a broken emergency exit after the aircraft hit a medical college hostel in the city of Ahmedabad.

Ramesh Viswashkumar, who police said was on seat 11A near the emergency exit and managed to escape through the broken hatch, was filmed after Thursday's crash limping on the street in a blood-stained T-shirt with bruises on his face.

That social media footage of the British national of Indian origin was broadcast on nearly all of India's news channels after the Boeing 787-8 Dreamliner plummeted soon after take-off and erupted in a ball of fire.

It was the worst aviation disaster in a decade.

""I don't believe how I survived. For some time I thought I was also going to die,"" 40-year-old Viswashkumar told Indian state broadcaster DD News from his hospital bed on Friday.

""But when I opened my eyes, I realised I was alive and I tried to unbuckle myself from the seat and escape from where I could. It was in front of my eyes that the air hostess and others (died)"".

Police said some people at the hostel and others on the ground were also killed in the crash. Rescue workers were searching for missing people and aircraft parts in the charred buildings of the hostel on Friday.

Viswashkumar said the plane appeared to come to a standstill in midair for a few seconds shortly after take-off and the green and white cabin lights were turned on.

He said he could feel the engine thrust increasing but then the plane ""crashed with speed into the hostel.""

Indian Prime Minister Narendra Modi, who arrived in his home state of Gujarat to visit the crash site, also met Viswashkumar in the hospital on Friday.

Doctors told local media that he did not sustain any major injuries.

""The side of the plane I was in landed on the ground, and I could see that there was space outside the aircraft, so when my door broke I tried to escape through it and I did,"" Viswashkumar said.

""The opposite side of the aircraft was blocked by the building wall so nobody could have come out of there.""

Viswashkumar said he walked out of the crash site with only burn injuries on his left arm.

(Reporting by Shivam Patel in New Delhi; Editing by Saad Sayeed)",REAL
Dr Wee officiates the launch of Malaysian Business Law Review 2025/2026 Edition,"PETALING JAYA: Dr Wee Ka Siong officially launched the Malaysian Business Law Review 2025/2026 Edition, a joint publication by RDS Partnership and DeHeng Law Office, at the Asian International Arbitration Centre.

In a Facebook post on Friday (June 20), the MCA president wrote that with China-Malaysia trade reaching new heights and Malaysia's strategic role growing within Asean and Bricks, the demand for legal clarity and accessible guidance has never been more critical.

“This publication, particularly tailored for Chinese investors, provides an insightful overview of Malaysia’s business legal framework, from corporate to tax law,” wrote Dr Wee.

He stated that the book, published in Chinese, improves accessibility for Chinese-speaking legal professionals in Malaysia and enables Malaysian perspectives to be more visible and understood within the broader Belt and Road legal discourse.

“Congratulations to the editorial team and all contributors on this meaningful milestone. May this review continue to grow as a platform for legal and business dialogue in our region,” wrote Dr Wee.",REAL
,Plastic containers release 'memory-erasing' toxins when microwaved.,FAKE
,Malaysia uses cloned ICs to give citizenship to foreigners.,FAKE
Indonesia evacuates 100 citizens from Iran and Israel amid regional tensions,"JAKARTA (Bernama): Indonesia has evacuated 100 of its citizens from Iran and Israel amid rising tensions in the region, Foreign Minister Sugiono, who goes by a single name, said on Saturday.

Of those evacuated, 96 individuals - including 93 Indonesian citizens, three embassy staff, and one Iranian national married to an Indonesian - crossed the Iran-Azerbaijan border and arrived safely in Baku.

""They are now resting in Baku after a 16-hour journey. The journey went relatively safely and smoothly, although the border was more crowded than usual,” he said in a video statement released by the ministry from Istanbul.

The remaining four Indonesians were evacuated in a separate operation from Israel via Jordan and are reported to be in good condition.

Sugiono said the ministry remained in close contact with its nationals in the region and that the first phase of the evacuation had proceeded smoothly.

According to the foreign ministry, 386 Indonesian citizens are residing in Iran and 192 in Israel.

Sugiono is attending the 51st session of the Organisation of Islamic Cooperation (OIC) Foreign Ministers’ Conference in Istanbul from June 21 to 22, where the situation in Iran and Gaza is expected to feature in discussions.

He called for calm and urged all parties to show wisdom and engage in dialogue to seek a peaceful resolution to the crisis. - Bernama",REAL
"BNM: Food prices up 17.5pc since 2020 but wages lag, fuelling Malaysia’s cost-of-living strain","KUALA LUMPUR, June 17 — Controlling inflation alone is insufficient to alleviate cost-of-living pressures, said Bank Negara Malaysia (BNM), highlighting the urgent need for structural reforms to address stagnant wage growth and ensure that incomes keep pace with rising prices.

Deputy Governor Datuk Marzunisham Omar said that although headline inflation has eased significantly due to timely monetary policy tightening, price levels remain elevated, thereby reducing household purchasing power amid moderate wage growth.

“From the first quarter of 2020 (1Q 2020) to the 1Q 2025, the Consumer Price Index cumulatively increased by 9.8 per cent, while prices for food and beverages rose even higher at 17.5 per cent.

“In contrast, nominal private sector wages per worker increased by only 7.9 per cent over the same period...So, in real terms, wages per worker declined by 1.9 per cent, hence why we are feeling the pressure of the rising cost of living,” he said.

Marzunisham said this during a panel session on the topic ‘Managing Inflation, Easing Cost: A Policy Perspective’ at the Sasana Symposium 2025 hosted by BNM today.

He pointed out that while it is commonly argued that wages should reflect productivity, data from the 1Q 2022 to 2Q 2025 revealed that productivity per worker rose by 7.4 per cent, yet real wages declined during the same period.

“This clearly illustrates, particularly at the micro level, a structural misalignment between productivity gains and wage growth,” he added.

Meanwhile, he said Malaysia should focus on creating more high-paying and skilled jobs. This is where investments come into the picture, and attracting the right kind of investment is crucial to creating high-skilled jobs that lead to high income.

He highlighted that Malaysia recorded very encouraging investment approval numbers in 2023 and 2024, and the percentage of high-skilled jobs in the economy increased to about 30 per cent, an increase from 25 per cent a few years ago.

Marzunisham said that attention must also be given to the supply side, where policy interventions are necessary, noting the ongoing concerns from employers regarding the quality of graduates entering the labour market.

“Between 2022 and 2023, around 260,000 fresh graduates entered the job market. However, only about 150,000 high-skilled jobs were created annually during that period, resulting in a gap of nearly 100,000.

“That’s why we see underemployment among graduates remaining high — about 36 per cent of our graduates are working in mid- or low-skilled jobs, simply because they cannot secure high-skilled employment,” he said.

Additionally, he noted that employers are complaining that they cannot find the right skilled workers, which underscores the need to improve training and address the skill mismatch among fresh graduates.

He also pointed out that some countries have adopted differentiated minimum wages based on skill levels, and emphasised the need to focus on the broader ecosystem that shapes how wages are determined.

Marzunisham also highlighted that some countries have introduced differentiated minimum wages, where the minimum wage is set according to skill levels, adding that another focus area should be the overall ecosystem of how wages are determined.

“The collaboration and engagement between employers, employees, and government unions, for example, is important, so that all these actors, all these participants, come into engagement in deciding how wages should be increased in the country, rather than leave it to the public forces,” he said. — Bernama",REAL
Manhunt on for four who kidnapped goldsmith in Kelantan,"TUMPAT: Kelantan police are pursuing four individuals who kidnapped a gold shop owner in Palekbang, Tumpat on May 20.

State police chief Datuk Mohd Yusoff Mamat said the suspects are believed to be hiding in the state and a large-scale operation has been launched to find them.

""Two of four suspects have been identified and a special task force is tracking them. ""Roadblocks have been set up across the state to locate a grey car used in the incident,"" he said when contacted on Sunday (May 25).

Although the 44-year-old victim was released a few hours after the incident, investigations are ongoing to determine the motive.

The case is being investigated under Section 365 of the Penal Code for kidnapping with intent to wrongfully confine, which carries a prison sentence of up to seven years and a fine.

A video went viral on social media showing the suspects blocking the victim's vehicle and forcing him into a grey car. – Bernama",REAL
,Bananas in Malaysia contain dangerous Helicobacter worms.,FAKE
Israel attacks Iran's capital with explosions booming across Tehran,"JERUSALEM: Israel attacked Iran's capital early Friday, with explosions booming across Tehran as Israel said it targeted nuclear and military sites.

The attack comes as tensions have reached new heights over Tehran's rapidly advancing nuclear program. The Board of Governors at the International Atomic Energy Agency for the first time in 20 years on Thursday censured Iran over it not working with its inspectors. Iran immediately announced it would establish a third enrichment site in the country and swap out some centrifuges for more-advanced ones.

Israel for years has warned it will not allow Iran to build a nuclear weapon, something Tehran insists it doesn’t want - though official there have repeatedly warned it could build them. The U.S. has been preparing for something to happen, already pulling some diplomats from Iraq’s capital and offering voluntary evacuations for the families of U.S. troops in the wider Middle East.

Israeli Prime Minister Benjamin Netanyahu said in an address on YouTube that the attacks will continue ""for as many days at it takes to remove this threat.”

U.S. Secretary of State Marco Rubio said Israel took ""unilateral action against Iran” and that Israel advised the U.S. that it believed the strikes were necessary for its self-defense.

""We are not involved in strikes against Iran and our top priority is protecting American forces in the region,” Rubio said in a statement released by the White House.

Rubio also issued a warning to Iran that it should not target U.S. interests or personnel.

People in Tehran awoke to the sound of the blast. State television acknowledged the blast.

It wasn't immediately clear what had been hit, though smoke could be rising from Chitgar, a neighborhood in western Tehran. There are no known nuclear sites in that area - but it wasn't immediately clear if anything was happening in the rest of the country.

An Israeli military official says that his country targeted Iranian nuclear sites, without identifying them.

The official spoke to journalists on condition of anonymity to discuss the ongoing operation, which is also targeting military sites.

Benchmark Brent crude spiked on the attack, rising nearly 5% on the news.

Israel's Defense Minister Israel Katz said that his country carried out the attack, without saying what it targeted.

""In the wake of the state of Israel’s preventive attack against Iran, missile and drone attacks against Israel and its civilian population are expected immediately,"" he said in a statement.

The statement added that Katz ""signed a special order declaring an emergency situation in the home front.”

""It is essential to listen to instructions from the home front command and authorities to stay in protected areas,” it said

Both Iran and Israel closed their airspace.

As the explosions in Tehran started, President Donald Trump was on the lawn of the White House mingling with members of Congress. It was unclear if he had been informed but the president continued shaking hands and posing for pictures for several minutes.

Trump earlier said he was urging Netanyahu to hold off from taking action for the time being while the administration negotiated with Iran.

""As long as I think there is a (chance for an) agreement, I don’t want them going in because I think it would blow it,” Trump told reporters. - AP",REAL
,Wearing black attracts negative spirits after sunset.,FAKE
"Do not take Israel-Iran conflict lightly, says Defence Minister","KOTA TINGGI: The escalating conflict between Israel and Iran should not be taken lightly as it could lead to a world war if not resolved properly, says Datuk Seri Mohamed Khaled Nordin.

The Defence Minister stated that although Malaysia is not involved in the conflict, the government will continue to monitor the situation.

“Conflicts like this, if not resolved properly, could lead to a world war.

“When this happens, people all over the world are affected as oil prices will spike and supplies will be cut off. Malaysia, as a trading nation, will also be affected,” he told reporters after attending a community ginger harvesting programme at Kampung Gembut, Sedili on Saturday (June 21).

Mohamed Khaled added that flights are not allowed to enter or leave Iran at the moment, so Malaysians in the country will be brought out by land to Turkmenistan.

“They will then be flown back to Malaysia via commercial flights,” he said, noting that only a small number of citizens are involved and the repatriation efforts are being carried out by the Foreign Ministry.

ALSO READ: Govt closely monitoring Iran conflict, no immediate plans for evacuation, says Anwar

On June 13, Israel launched a series of strikes on Iranian territory, reportedly killing several high-ranking military officials and scientists.

In retaliation, Iran fired ballistic missiles at several locations in Israel, resulting in multiple casualties and injuries.

Wisma Putra confirmed that no Malaysians in Iran have been reported affected by the attacks.

On Thursday (June 19), government spokesman Datuk Fahmi Fadzil said Malaysian students, tourists, and embassy personnel will be assisted to leave Iran by Friday (June 20).

In case of emergency, Malaysians in Iran may contact the Embassy of Malaysia in Tehran at the address: No.25, 2nd Alley, North Zarafshan St., Shahrak-e-Gharb; phone numbers: +98 21 8807 2444, +98 21 8807 8606, +98 933 535 2602 or e-mail: mwtehran@kln.gov.my / mwconsular.teh@gmail.com.",REAL
"Violent crime fears rise, but homicide rate stays low",,REAL
Boy injured in Bukit Rambai tragedy discharged,"MELAKA: The 13-year-old boy who was seriously injured in the tragic double murder of his mother and brother in Bukit Rambai on June 12 has been discharged from Hospital Melaka.

Melaka Social Welfare Department's director Halyjah Muhammad said the teenager's condition has stabilised and he has recovered from his physical injuries.

""Since his admission on June 12, our officers from the welfare and counselling unit have been monitoring his condition and providing support, including assessing him for possible psychological trauma before his discharge on Thursday (June 19),"" she said when asked about the teenager's condition on Friday (June 21).

Halyjah said the department found the teenager to be emotionally stable and not experiencing severe trauma.

""A relative who cared for him during his hospitalisation has expressed willingness to continue supporting him, which the department views as a positive step,"" she said.

Halyjah said the teenager’s uncle would now oversee his welfare and schooling arrangements in Selangor.

She added that the department visited the 17-year-old suspect currently in police custody following the fatal attack on their family.

""His physical and emotional condition is stable while receiving adequate meals and is being held separately from adult detainees.

""Regardless of the legal process, our role is to ensure the rights and welfare of a child in custody are safeguarded,"" she added.

On June 18, the teen suspect was charged at the Magistrate’s Court with two counts of alleged murder and one count of causing grievous bodily harm.

The incident occurred in the early hours of June 12 at the family’s home in Taman Rambai Mutiara in Bukit Rambai.

According to police, the suspect allegedly stabbed his 51-year-old mother, a primary school teacher, multiple times in her bedroom before turning the weapon on his 21-year-old brother, who tried to intervene.

Both victims were pronounced dead at the scene.

The youngest sibling, who was also attacked, survived the assault and was later hospitalised with serious injuries.

Melaka police chief Deputy Comm Datuk Dzulkhairi Mukhtar said preliminary investigations indicated that the suspect had been under significant emotional stress, allegedly stemming from academic pressure and strained family relations.

The suspect was reported to have been upset over repeated demands from his mother to perform well in his studies.

The investigation also revealed that the teenager allegedly purchased the knife days before the incident and initially claimed the attack was the result of a robbery, a claim later refuted through CCTV footage and his confession.",REAL
,"Flood victims can now report cases and claim RM5,000 assistance using an online form.",FAKE
"Malaysia, Egypt agree on Usim as gateway for Al-Azhar medical studies","JASIN: The governments of Egypt and Malaysia have agreed to designate Universiti Sains Islam Malaysia (Usim) as a one-stop centre for students sponsored by Al-Azhar University to pursue medical studies at the prestigious institution.

Deputy Prime Minister Datuk Seri Dr Ahmad Zahid Hamidi said that the selected students would undergo a one-year 'familiarisation course' at Usim before departing to continue their studies at Al-Azhar University.

""As part of the process of sending students to Egypt, we will conduct a one-year Arabic-language familiarisation course at Usim, as agreed by both the Egyptian and Malaysian governments,” he said.

He was speaking to reporters after attending the launch of the Dunia Melayu Dunia Islam (DMDI) Dakwah Complex and the DMDI Foundation Tahfiz Centre at Maahad Tahfiz Sulaimaniyyah, Kampung Tersusun DMDI Bukit Senggeh, Selandar, here Sunday (May 25).

The ceremony, officiated by the Yang di-Pertua Negeri of Melaka, Tun Mohd Ali Rustam, was also attended by Melaka Chief Minister Datuk Seri Ab Rauf Yusoh and DMDI Foundation chairman Datuk Mohd Ridhwan Mohd Ali.

The DMDI Foundation Tahfiz Centre began construction in 2021 and was completed in February this year, with 37 students enrolled in its first intake.

Ahmad Zahid said the government also prioritised outstanding tahfiz school graduates, especially those with a Malaysian Skills Certificate (SKM) Level 5, to pursue medical studies at Al-Azhar University.

Commenting on PKR request to contest 13 seats in the upcoming Sabah state election, Ahmad Zahid, who is also Umno president, said discussions were still ongoing between Barisan Nasional (BN) and Pakatan Harapan (PH).

""To me, the request is an internal matter among PH component parties, and we fully respect the cooperation between BN and PH as well as the negotiations with local parties in Sabah.

""A final decision will be made once the Sabah state legislative assembly is dissolved,” he said. - Bernama",REAL
,Eating ice cream during menstruation can cause permanent infertility.,FAKE
,All civil servants will receive a 25% salary increment by mid-2025.,FAKE
,Certain patterns on batik can trigger hypnotic states.,FAKE
