label,text
FAKE,Drinking rainwater during thunderstorms strengthens your aura.
FAKE,Left-handed people are more likely to be abducted by aliens.
FAKE,Shoes made with synthetic soles block your connection to the Earth’s energy.
FAKE,Vaccines are used to implant false memories.
FAKE,Taking too many selfies with cats can distort your face symmetry.
FAKE,QR codes contain subliminal advertising that controls your spending.
FAKE,Malaysia plans to ban chewing gum again to stop protests.
FAKE,Public buses emit sounds only detectable by children and animals.
FAKE,Sleeping with mirrors in the room attracts interdimensional beings.
FAKE,Tap water after midnight is chemically different and shouldn’t be consumed.
FAKE,Every vehicle in Malaysia is secretly tracked via exhaust particles.
FAKE,Watching horror movies alone can attract real ghosts.
FAKE,Folding your IC in half deactivates the government chip inside.
FAKE,Wearing too much perfume confuses your body’s natural pheromones.
FAKE,Certain patterns on batik can trigger hypnotic states.
FAKE,Laptops emit 'silent frequencies' that can change your political views.
FAKE,All supermarket barcodes contain hidden satanic messages.
